id,name,price,link,shop,品牌,内存,CPU,销量
100139459434,方正国家补贴20%鲲鹏系列笔记本电脑新款N100商务办公15.6寸高性能16G轻薄本手提512G大学生便携笔记本,1769.0,https://item.jd.com/100139459434.html,方正Founder京东自营旗舰店,其他,16GB,Intel 其他,434
10151103927694,诺米澳全新2025笔记本电脑轻薄本网课学习设计便携全金属商务办公游戏大屏学生手提电脑 book154K级15.6英寸+i5级+指纹锁 16G高速运存+128G固态硬盘,1199.0,https://item.jd.com/10151103927694.html,诺米澳官方旗舰店,其他,16GB,Intel i5,694
10038237747020,H&U&W国行2025新英特尔+酷睿i7笔记本电脑轻薄本大学生办公便携高性能游戏本商务设计AI标压手提本 15代14英寸英特尔IPS护眼+9D蓝光全面屏 8G内...,955.0,https://item.jd.com/10038237747020.html,H&U&W旗舰店,其他,8GB,Intel i7,20
10110411111748,联想小新air14plus笔记本电脑超轻薄便携商务办公学生设计家用网课2K Air1410代i5/8G/256G 14英寸 高清护眼屏 官方标配+399赠品礼包,1899.0,https://item.jd.com/10110411111748.html,小新Think官企办公本小店,联想,8GB,Intel i5,748
100046657022,惠普HP国家补贴20%锐15 AMD锐龙 15.6英寸轻薄笔记本电脑(六核R5-7530U 16G 512G指纹 一年上门),3099.0,https://item.jd.com/100046657022.html,惠普HP京东自营旗舰店,惠普,16GB,Ryzen 5,22
10053758851864,HALIWEI国行2025款英特尔+酷睿i7笔记本电脑高性能金属轻薄本网课学习设计便携商务办公游戏学生手提 轻薄款14代英特尔IPS护眼屏 16GB运存+...,1218.0,https://item.jd.com/10053758851864.html,HALIWEI旗舰店,其他,16GB,Intel i7,864
10138416020766,机械革命蛟龙16pro5070TI 蛟龙16pro2025蛟龙16k 送黑神话悟空好评赢取 2025新品蛟龙畅玩黑神话悟空 蛟龙16k R7 -7435H 4050 基础高性价比16G+512G高,4599.0,https://item.jd.com/10138416020766.html,硕海通笔记本专营店,机械革命,16GB,Ryzen 7,766
10138224556054,联想国家补贴20%笔记本电脑V15  全新处理器 企业办公商务学生设计轻薄便携本 15.6英寸高清护眼屏 热销英特尔N4500 8G 256G高速固态,2199.0,https://item.jd.com/10138224556054.html,联想商用办公官方旗舰店,联想,8GB,Intel 其他,54
10079625675852,KHXZ国行新品2025款英特尔+酷睿i7金属笔记本电脑轻薄本大学生上网课设计学习商务办公AI游戏手提 高配英特尔16Pro+IPS窄边屏+护眼抗蓝光 8G运行+128G...,779.0,https://item.jd.com/10079625675852.html,晶品必优电脑办公专营店,其他,8GB,Intel i7,852
10038266364599,联想Lenovo) 拯救者15.6寸Y7000/ R9000P高刷电竞吃鸡设计游戏本二手笔记本电脑 9新I7-4代标压 GTX960游戏通杀14isk 16G内存+512G固态,1424.0,https://item.jd.com/10038266364599.html,新茂二手电脑专营店,联想,16GB,Intel i7,599
100054923359,惠普HP国家补贴20%锐15 AMD锐龙15.6英寸轻薄笔记本电脑(六核R5-7530U 8G 512G指纹 一年上门),2799.0,https://item.jd.com/100054923359.html,惠普HP京东自营旗舰店,惠普,8GB,Ryzen 5,359
10095517873629,联想拯救者R7000P 2025补贴20% AI元启R7标压 RTX4060满血游戏3A 16英寸学生政府可选昭阳笔记本电脑 全新六核7000系 16G-1TB丨升级X5 高速固态丨疾速WiFi6技术,3298.4,https://item.jd.com/10095517873629.html,电竞游戏笔记本授权店,联想,16GB,Ryzen 7,629
10115537626677,HUATWAI国行2025新款英特尔酷睿i7笔记本电脑轻薄本15.6英寸高清IPS屏商务办公网课设计大学生游戏本 旗舰款全新16代英特尔Pro Book  银色 16G大运...,1279.0,https://item.jd.com/10115537626677.html,HUATWAI旗舰店,其他,16GB,Intel i7,677
10125098765625,HUWDI国行2025新款笔记本电脑全新酷睿i7+独显处理器15.6英寸大屏高性能娱乐学习办公游戏全能本 英特尔超值本IPS柔光纸类屏款灰色 16G运行+256固态存储,1599.0,https://item.jd.com/10125098765625.html,HUWDI电脑整机官方旗舰店,其他,16GB,Intel i7,625
10115117113566,I7满血独显笔记本电脑轻薄本高端高性能金属游戏设计 英特尔14 Pro2.5K全面屏+抗蓝光+指纹 32G内存+512G超速硬盘,2588.0,https://item.jd.com/10115117113566.html,亿盛源电脑办公专营店,其他,32GB,Intel i7,566
10135563895417,小米红米RedmiBook14Pro15轻薄2024设计办公学生16游戏独显笔记本电脑 红米14i5-8265U/8+256独显 官方标配|内存硬盘可升级定制 店保两年|正品保障,1647.0,https://item.jd.com/10135563895417.html,MIFANS米粉严选拼购店,小米,8GB,Intel i5,417
10107525100532,HALIWEI国行2025款英特尔+酷睿i7笔记本电脑高性能金属轻薄本网课学习设计便携商务办公游戏学生手提 AI终端英特尔16pro+4K窄边全面屏蓝光级 32G...,2298.0,https://item.jd.com/10107525100532.html,HALIWEI旗舰店,其他,32GB,Intel i7,532
10123852242700,戴尔DELL戴尔笔记本电脑i7剪辑设计商务办公轻薄本吃鸡游戏本流畅高清 2 -i7 -16G-1TB -独显1G 标准套餐,1280.0,https://item.jd.com/10123852242700.html,夏忆九五新电脑数码经营部,戴尔,16GB,Intel i7,700
100096927364,华硕a豆14 2025新品AI轻薄本 笔记本电脑(13代i5 16G 1T超大硬盘 护眼屏 赠office)国家补贴20%办公 青,3599.0,https://item.jd.com/100096927364.html,华硕京东自营官方旗舰店,华硕,16GB,Intel i5,364
10087006660640,联想Thinkpad (独显)T480T490T14s 轻薄便携商务办公游戏本 九成新二手笔记本电脑 主推T450 i5-5代 16+500G固9新,1032.0,https://item.jd.com/10087006660640.html,首创二手电脑专营店,联想,500GB,Intel i5,640
100199987222,华为MateBook D 16 Linux版 国家补贴20% 笔记本电脑 13代酷睿标压处理器 i5 16G 1T 皓月银,4299.0,https://item.jd.com/100199987222.html,华为京东自营旗舰店,华为,16GB,Intel i5,222
10145951134352,隐星G15游戏笔记本电脑15.6英寸电竞高色域高刷学生设计剪辑将星X15升级款AI手提本 国家补贴G15灰i5 16G 512G官标 RTX4060 8G独显,5439.0,https://item.jd.com/10145951134352.html,七彩虹Colorful旗舰店,其他,16GB,Intel i5,352
10109225469459,联想Lenovo)二手笔记本电脑小新 Air/pro 14寸 剪辑编程轻薄商务制图办公本 双核Intel4G/128G商务办公 - 9成新,407.0,https://item.jd.com/10109225469459.html,方与园二手电脑专营店,联想,4GB,Intel 其他,459
100134301545,联想Lenovo异能者生态 笔记本电脑 国家补贴20%  P14H  14.1英寸轻薄本办公本商务 N100 16G 512G,2389.0,https://item.jd.com/100134301545.html,异能者 ERAZER京东自营旗舰店,联想,16GB,Intel 其他,545
100098924539,AOC笔记本电脑新款大师N300国家补贴20%英特尔12代15.6英寸轻薄护眼商务办公学生本16+512GB一级能效,1793.0,https://item.jd.com/100098924539.html,AOC笔记本京东自营旗舰店,其他,512GB,其他,539
100115497119,戴睿dere国家补贴英特尔14英寸2K超清屏笔记本电脑自营超轻薄便携学生网课游戏商务办公12G/256G 星空灰,1380.0,https://item.jd.com/100115497119.html,DERE戴睿京东自营旗舰店,其他,12GB,其他,119
100195779460,联想拯救者R7000P  16英寸电竞游戏本笔记本电脑(锐龙7 8845H 16G 1T RTX4060 2.5K )灰 国家补贴20%,7999.0,https://item.jd.com/100195779460.html,联想京东自营旗舰店,联想,16GB,Ryzen 7,460
10109896960121,联想笔记本电脑Thinkbook14+轻薄商务14英寸办公本学生设计师游戏i5i7 14si5-8265U/8G/256G/独显 官方正品 官方标配+赠品大礼包,1899.0,https://item.jd.com/10109896960121.html,小新Think官企办公本小店,联想,8GB,Intel i5,121
10147785689179,华为HUAWEI笔记本电脑16英寸i7商务办公大学生游戏轻薄本 华为荣耀14-R5-i7-9代-8G-256G 标准套餐,1780.0,https://item.jd.com/10147785689179.html,夏忆九五新电脑数码经营部,华为,8GB,Intel i7,179
10107948296304,HUATWAI国行2025新款英特尔酷睿i7笔记本电脑轻薄本15.6英寸高清IPS屏商务办公网课设计大学生游戏本 旗舰款全新16代英特尔Pro Book 粉色 32G大运...,2096.0,https://item.jd.com/10107948296304.html,HUATWAI旗舰店,其他,32GB,Intel i7,304
10065469051000,戴尔DELL 笔记本电脑二手 灵越成就14/15.6寸轻薄本 编程设计网课学习商务办公本独显 9新店长力荐i7二代/16G+1TB独显12款,919.0,https://item.jd.com/10065469051000.html,盘古二手电脑专营店,戴尔,16GB,Intel i7,0
10136856444046,ZWIDE智纬NA08H迷你笔记本电脑8英寸触屏二合一商务办公便捷口袋掌上电脑 12G运存+128GB高速固态硬盘 lntel-N150,2099.0,https://item.jd.com/10136856444046.html,ZWIDE数码旗舰店,其他,12GB,其他,46
10037429307831,戴尔二手笔记本电脑14/15.6英寸便携绘图编程代码轻薄商务办公本 9新限秒升级i7-二代/16g1t固态-12款,819.0,https://item.jd.com/10037429307831.html,鑫航二手电脑专营店,戴尔,16GB,Intel i7,831
100112301062,华硕天选5 国家补贴20%15.6英寸高性能游戏本 笔记本电脑(锐龙7 R7-8845H 16G 512G RTX4060 高色域)灰,6799.0,https://item.jd.com/100112301062.html,华硕京东自营官方旗舰店,华硕,16GB,Ryzen 7,62
10133889665763,联想笔记本电脑小新Pro16可选 2025店铺20%高性能标压酷睿i5性能本 政府办公游戏设计扬天V轻薄笔记本 爆款V15 N4500 16G内存 512G固态 精装升级 独显级显卡...,2354.99,https://item.jd.com/10133889665763.html,ThinkPad物云专卖店,联想,16GB,Intel i5,763
100068523527,戴睿dere国家补贴20%爆款16英寸高性能酷睿i9 笔记本电脑自营旗舰轻薄 AI智能商务办公游戏本 32G/1TB 2.5K,3487.0,https://item.jd.com/100068523527.html,DERE戴睿京东自营旗舰店,其他,32GB,Intel i9,527
100212784818,华硕天选6 Pro 酷睿版 国家补贴20%Ultra 7 16英寸游戏本笔记本电脑(U7-255HX 16G 1T RTX5070 2.5K)灰,10699.0,https://item.jd.com/100212784818.html,华硕京东自营官方旗舰店,华硕,16GB,其他,818
10136849654981,天选者Ultra5pro官方补贴20%+2025新款笔记本电脑酷睿i9/4060独显高性能金属AI设计轻薄本电竞游戏本 酷睿I9级八核+升级8G显存+人脸解锁设计游戏 16G内存+512GB固,2779.2,https://item.jd.com/10136849654981.html,天选者旗舰店,其他,8GB,Intel i9,981
10150847712465,联想拯救者Y7000P游戏笔记本 2025补贴20%电脑i7满血RTX4060独显 大学生设计师3D建模昭阳电竞本可选 i7-13620H 16G内存+1TB固态丨X3 全新升级 官方正品 热销爆款,4699.0,https://item.jd.com/10150847712465.html,联想京惠选专卖店,联想,16GB,Intel i7,465
10125542010717,HALIWEI新款2025年AMD锐龙笔记本电脑R5/R7-7840HS高刷高性能金属商务办公上网课学习畅玩黑神话悟空 高配本八核Ultra R7同比酷睿i9性能 32G运行+1024G...,3399.0,https://item.jd.com/10125542010717.html,HALIWEI旗舰店,其他,32GB,Intel i9,717
10107525100536,HALIWEI国行2025款英特尔+酷睿i7笔记本电脑高性能金属轻薄本网课学习设计便携商务办公游戏学生手提 AI终端英特尔16pro+4K窄边全面屏蓝光级 16G...,1606.0,https://item.jd.com/10107525100536.html,HALIWEI旗舰店,其他,16GB,Intel i7,536
100122210501,联想笔记本电脑小新14高能轻薄本 标压锐龙7 8745H 16G 512G 高色域护眼屏 丰富接口国家补贴20%,3499.0,https://item.jd.com/100122210501.html,联想京东自营旗舰店,联想,16GB,其他,501
10095475296358,联想lenovo小新等系列二手笔记本 14/15.6寸商务办公 视频剪辑 设计制图轻薄笔记本电脑 店长热荐酷睿2双核-16G+620G混合盘核显 9成新,599.0,https://item.jd.com/10095475296358.html,渝新优品二手电脑专营店,联想,16GB,其他,358
100061693621,戴睿dere国家补贴商务旗舰高性能笔记本电脑自营 办公设计绘图学生网课娱乐游戏手提轻薄本 英特尔16G+512G,1895.0,https://item.jd.com/100061693621.html,DERE戴睿京东自营旗舰店,其他,16GB,其他,621
100120701669,方正鲲鹏系列笔记本电脑高性能15.6英寸12G大学生办公商务N95娱乐1TB大容量超轻薄本手提电脑,1754.0,https://item.jd.com/100120701669.html,方正Founder京东自营旗舰店,其他,12GB,其他,669
